,District,White (Alone),Hispanic or Latino,Black,Asian,Native American,Pacific Islander,Dem,Rep,Total,Margin,Incumbency,pres_16,pres_20,State,Shift,rep_raise,rep_spend,dem_raise,dem_spend,dem_supported,dem_opposed,gop_supported,gop_opposed,dem_total_spent,gop_total_spent,spending_delta,Uncontested,WAR,WAR_raw,Democrat,Republican
0,AK-AL,5.965234833915772,2.814806517793623,2.3982511729518055,3.1432556290735083,4.328118220861059,1.5939568426469297,137263.0,112471.0,249734.0,-9.93,-1.0,0.1672354948805459,0.10523697447698632,AK,0.04,0.0,0.0,7484505.0,6366468.0,2902308,25137,591544,34944,9303720.0,616681.0,-3.893554352199304,False,D +15.0,-0.149587906173147,Mary Peltola,Sarah Palin
1,AL-01,6.066038595584647,2.081001385855381,4.73382159505113,1.5089269242633727,2.0376682671626267,0.16372005020151723,0.0,140592.0,168150.0,83.61,1.0,0.3009307135470529,0.28592878195265725,AL,0.092,1187763.0,880379.0,0.0,0.0,0,0,0,0,0.0,880379.0,6.4763476613395445,True,,,None,Jerry Carl
2,AL-02,5.977855758973946,2.1935482144876643,4.959759245328772,1.7153483535616159,1.6318327873666865,0.2010678780573813,58014.0,137460.0,198961.0,39.93,1.0,0.3347064881565396,0.2973517440850777,AL,0.092,869822.0,385126.0,54403.0,54442.0,0,0,8866,0,54442.0,393992.0,2.6482535496309025,False,R +3.2,0.03216876659108092,Phyllis Harvey-Hall,Barry Moore
3,AL-03,6.103011184562228,2.025692836118746,4.6998569687506455,1.6275677093921328,1.6359829269990043,0.1752894748342684,47859.0,135602.0,190406.0,46.08,1.0,0.3574380165289255,0.34450152916901855,AL,0.092,2171440.0,1619855.0,9968.0,13238.0,0,0,0,0,13238.0,1619855.0,6.132113903419994,False,R +3.6,0.035541808712402534,Lin Veasey,Mike Rogers
4,AL-04,6.3821944658269825,2.7349717765392523,3.120918758007104,0.8654641181829111,2.176616502061528,0.12563183440581596,26694.0,164655.0,195733.0,70.48,1.0,0.6288659793814433,0.6240513537939658,AL,0.092,1522001.0,970510.0,22648.0,23620.0,0,0,0,0,23620.0,970510.0,4.866140714526566,False,R +2.9,0.02850612188863999,Rick Neighbors,Robert Aderholt
5,AL-05,6.16766032093499,2.6513918269723353,4.252322818989023,1.817771170746898,2.0931631088431746,0.23570371511136406,62740.0,142435.0,212317.0,37.54,0.0,0.34883720930232553,0.2754640535192687,AL,0.092,1920670.0,1892708.0,85150.0,84706.0,0,0,429761,491898,576604.0,2322469.0,1.9913990930186358,False,R +5.8,0.05758165265091758,Kathy Warner-Stanton,Dale Strong
6,AL-06,6.173204474671224,2.673475074240354,4.316912535863708,1.7155167873262493,1.6605545290778958,0.143833522626675,0.0,154233.0,184203.0,83.73,1.0,0.40188877229800624,0.3026856438468737,AL,0.092,1202671.0,1099397.0,0.0,0.0,0,0,0,0,0.0,1099397.0,6.793631919060764,True,,,None,Gary Palmer
7,AL-07,5.307576907894073,2.218352889767666,5.813993299021075,1.3430044109026205,1.1973353338872266,0.13933391620251012,123233.0,67416.0,193940.0,-28.78,-1.0,-0.3135245901639344,-0.32271379139891254,AL,0.092,47729.0,47695.0,2318405.0,1584332.0,232763,0,0,0,1817095.0,47695.0,-4.984961542220873,False,R +0.7,0.007170950724941172,Terri Sewell,Beatrice Nichols
8,AR-01,6.262269996843685,2.044879131836151,4.161252953373971,0.9730416962453623,1.9163227056582361,0.24652147250448422,54598.0,153774.0,208372.0,47.6,1.0,0.36698212407991604,0.42147240145429454,AR,0.08800000000000001,1075270.0,637092.0,66284.0,60079.0,0,0,8,0,60079.0,637100.0,3.2069345837165173,False,D +0.6,-0.00623685296096782,Monte Hodges,Rick Crawford
9,AR-02,6.131717414546376,2.6205316990774743,4.415077499242172,1.7125104808800864,2.011333156675379,0.1585724004600622,86887.0,147975.0,246446.0,24.79,1.0,0.15957446808510634,0.13481669740729996,AR,0.08800000000000001,3237503.0,2504575.0,0.0,0.0,0,0,15256,54167,54167.0,2519831.0,5.301065667253731,False,R +2.1,0.021219549941572796,Quintessa Hathaway,French Hill
10,AR-03,6.182361510224095,3.8962483038149975,2.1890525266629175,2.372896007497495,2.726530075621976,1.2342906907497813,73541.0,142401.0,223588.0,30.8,1.0,0.3101952277657265,0.24140582889591555,AR,0.08800000000000001,1659529.0,1030996.0,43839.0,43518.0,0,0,9,8,43526.0,1031005.0,4.281593343740131,False,D +1.5,-0.015463661810174223,Lauren Mallett-Hays,Steve Womack
11,AR-04,6.141991318301972,2.8134927797410314,4.375565438363424,1.0459845442874078,2.1090207069949334,0.20158199680274164,56745.0,153850.0,216696.0,44.81,1.0,0.31865828092243165,0.3624337896402283,AR,0.08800000000000001,1907484.0,1312141.0,0.0,0.0,0,0,168120,0,0.0,1480261.0,7.2194212120261785,False,D +0.2,-0.002065783305589486,John White,Bruce Westerman
12,AZ-01,6.222038859064451,3.893377838773308,2.3260948232730123,2.695513568475007,2.0252563401854253,0.36106720103568934,179141.0,182336.0,361477.0,0.88,1.0,0.044967880085653,-0.015044867585905064,AZ,0.025,1897128.0,1843173.0,2532427.0,2468511.0,307078,1039605,1695058,1720698,4496287.0,4577836.0,0.02587462067607247,False,D +2.0,-0.019876056630782617,Jevin Hodge,David Schweikert
13,AZ-02,5.931533354188485,3.967048526145445,1.9020915354290808,1.5666845627929207,4.4482348868253165,0.42172508235894957,149151.0,174169.0,323396.0,7.74,-1.0,0.10942578548212345,0.07998788100347287,AZ,0.025,3719612.0,3549568.0,4234067.0,4182051.0,773789,2434375,1611974,780368,5736208.0,7595917.0,0.40451197938297023,False,R +2.3,0.022764318198726784,Tom O'Halleran,Eli Crane
14,AZ-03,4.631762932218846,5.887523683365991,3.6863396231417527,2.255217670650565,2.615713234257987,0.5445828173887446,108599.0,32475.0,141074.0,-53.96,-1.0,-0.538793103448276,-0.5145792884562532,AZ,0.025,73781.0,54678.0,2396728.0,1912852.0,4468,0,0,0,1917320.0,54678.0,-4.897177249353189,False,D +3.4,-0.03388258252224152,Ruben Gallego,Jeff Zink
15,AZ-04,5.916855558837938,4.593482031526874,2.9284814851396206,3.048809101600948,2.4167503512129107,0.6756628800545867,148941.0,116521.0,265498.0,-12.21,-1.0,-0.026490066225165476,-0.10505665640710249,AZ,0.025,1703911.0,1484830.0,4292735.0,5273648.0,248520,1854,79124,3513488,9035656.0,1565808.0,-2.5211333680392416,False,D +1.4,-0.013746658552209995,Greg Stanton,Kelly Cooper
16,AZ-05,6.158005175196198,4.0334057304350726,2.4719008206461504,3.035394243636896,1.8332118555416075,0.6025628080230778,120275.0,182464.0,321590.0,19.34,1.0,0.23177366702937974,0.1663762642240414,AZ,0.025,1957054.0,2364352.0,16002.0,14985.0,0,0,4718,20608,35593.0,2369070.0,5.705441569910727,False,D +4.1,-0.040860485649451356,Javier Ramos,Andy Biggs
17,AZ-06,6.094746879947254,4.4798230758112085,2.4202573690939895,2.4090964326373268,2.0734931391190763,0.6285854004650376,172040.0,177201.0,349283.0,1.48,0.0,0.056034482758620774,-0.0007357803462824108,AZ,0.025,3349950.0,3285041.0,2442017.0,2431860.0,123221,4681980,2020793,43497,2598578.0,9987814.0,1.9383491147382266,False,D +2.6,-0.025569229859642946,Kirsten Engel,Juan Ciscomani
18,AZ-07,5.083046470395747,5.819762124142351,2.5727217740332335,2.0064500002421015,2.7707079525375846,0.4432131024737497,126418.0,69444.0,195862.0,-29.09,-1.0,-0.3605150214592274,-0.3326494323621939,AZ,0.025,216984.0,192901.0,624341.0,621705.0,2018,0,0,0,623723.0,192901.0,-1.6430764014240935,False,R +2.3,0.022523817146239578,Raul Grijalva,Luis Pozzolo
19,AZ-08,6.121859764704101,4.254536281518817,2.670266987388183,2.6583993939212323,1.9820235083751232,0.44489694814565417,0.0,197555.0,204713.0,93.01,1.0,0.202572347266881,0.13725766761454516,AZ,0.025,1183677.0,833111.0,0.0,0.0,0,0,58691,0,0.0,891802.0,6.494738804449049,True,,,None,Debbie Lesko
20,AZ-09,5.98364369828142,4.744739447523643,2.636326603093059,2.161120203805512,2.2427401826030517,0.6036101578723725,0.0,192796.0,197185.0,95.55,1.0,0.3105656350053363,0.2614087246146797,AZ,0.025,923785.0,823189.0,0.0,0.0,0,0,58547,83998,83998.0,881736.0,3.2459146950334263,True,,,None,Paul Gosar
