District,rep_raise,rep_spend,dem_raise,dem_spend
AK-AL,,,"$7,484,505 ","$6,366,468 "
AL-01,"$1,187,763 ","$880,379 ",,
AL-02,"$869,822 ","$385,126 ","$54,403 ","$54,442 "
AL-03,"$2,171,440 ","$1,619,855 ","$9,968 ","$13,238 "
AL-04,"$1,522,001 ","$970,510 ","$22,648 ","$23,620 "
AL-05,"$1,920,670 ","$1,892,708 ","$85,150 ","$84,706 "
AL-06,"$1,202,671 ","$1,099,397 ",,
AL-07,"$47,729 ","$47,695 ","$2,318,405 ","$1,584,332 "
AR-01,"$1,075,270 ","$637,092 ","$66,284 ","$60,079 "
AR-02,"$3,237,503 ","$2,504,575 ",,
AR-03,"$1,659,529 ","$1,030,996 ","$43,839 ","$43,518 "
AR-04,"$1,907,484 ","$1,312,141 ",,
AZ-01,"$1,897,128 ","$1,843,173 ","$2,532,427 ","$2,468,511 "
AZ-02,"$3,719,612 ","$3,549,568 ","$4,234,067 ","$4,182,051 "
AZ-03,"$73,781 ","$54,678 ","$2,396,728 ","$1,912,852 "
AZ-04,"$1,703,911 ","$1,484,830 ","$4,292,735 ","$5,273,648 "
AZ-05,"$1,957,054 ","$2,364,352 ","$16,002 ","$14,985 "
AZ-06,"$3,349,950 ","$3,285,041 ","$2,442,017 ","$2,431,860 "
AZ-07,"$216,984 ","$192,901 ","$624,341 ","$621,705 "
AZ-08,"$1,183,677 ","$833,111 ",,
AZ-09,"$923,785 ","$823,189 ",,
CA-01,"$949,542 ","$661,695 ","$624,550 ","$587,984 "
CA-02,"$10,677 ","$10,677 ","$920,095 ","$735,668 "
CA-03,"$3,186,976 ","$3,109,839 ","$3,216,905 ","$3,179,040 "
CA-04,"$11,227 ","$11,204 ","$2,229,581 ","$2,239,999 "
CA-05,"$1,639,264 ","$1,642,647 ","$461,012 ","$457,921 "
CA-06,"$1,153,596 ","$1,071,020 ","$1,491,041 ","$1,757,991 "
CA-07,"$57,079 ","$46,196 ","$1,388,767 ","$1,399,024 "
CA-08,"$52,712 ","$52,244 ","$1,144,310 ","$1,102,004 "
CA-09,"$1,610,509 ","$1,560,611 ","$6,441,732 ","$8,575,504 "
