District,Total Adult Population,White (Alone),Hispanic or Latino,Black,Asian,Native American,Pacific Islander
AK-AL,"554,003","340,580","33,441","23,665","43,407","105,737","11,184"
AL-01,"557,535","367,960","18,014","142,777","10,292","17,316",670
AL-02,"557,677","345,900","19,933","167,971","12,736","11,706",834
AL-03,"564,281","382,226","17,334","141,011","11,793","11,895",729
AL-04,"556,133","458,324","31,463","42,819","4,571","19,581",506
AL-05,"561,187","397,809","29,646","101,339","14,172","18,333",996
AL-06,"552,286","393,028","29,711","104,551","12,615","11,937",579
AL-07,"568,067","219,297","20,755","313,904","8,730","7,346",576
AR-01,"579,039","438,676","18,103","97,812","5,576","16,066","1,079"
AR-02,"582,706","402,756","30,008","118,487","13,270","17,665",677
AR-03,"566,367","405,651","78,667","20,163","23,673","31,822","7,661"
AR-04,"584,161","406,689","35,224","115,416","6,220","19,359",876
AZ-01,"650,548","479,118","90,167","26,116","35,636","19,976","1,850"
AZ-02,"628,519","377,323","92,007","17,206","12,333","130,920","2,134"
AZ-03,"568,035","135,143","330,596","67,446","21,438","29,136","2,605"
AZ-04,"628,965","373,705","145,556","41,594","45,759","27,295","3,757"
AZ-05,"584,092","411,245","89,803","26,563","42,047","14,972","3,028"
AZ-06,"642,434","432,642","136,923","27,963","27,698","20,616","3,508"
AZ-07,"601,175","197,763","333,554","29,754","18,143","35,015","2,162"
AZ-08,"628,985","431,740","113,766","33,748","33,420","18,558","2,272"
AZ-09,"609,223","379,415","157,245","31,786","21,156","22,742","3,165"
CA-01,"592,603","387,123","115,742","15,965","39,916","35,585","3,893"
CA-02,"614,494","420,290","110,048","15,735","36,448","33,169","3,672"
CA-03,"603,885","436,701","74,828","14,325","53,685","21,894","3,899"
CA-04,"611,312","338,179","168,374","24,962","61,291","24,417","5,141"
CA-05,"599,484","377,863","133,798","18,592","45,747","26,338","5,449"
CA-06,"577,524","295,331","117,424","64,045","84,712","22,178","8,749"
CA-07,"582,846","204,018","140,253","72,402","151,752","20,345","13,839"
CA-08,"588,571","158,532","185,553","104,392","131,671","21,090","9,185"
CA-09,"561,822","183,363","211,242","50,490","108,990","21,367","7,080"
CA-10,"585,695","300,385","97,536","34,008","143,652","13,368","5,305"
CA-11,"664,995","296,850","87,723","43,691","227,568","12,865","4,609"
CA-12,"621,080","218,543","131,521","111,824","152,734","19,039","5,745"
CA-13,"544,744","140,851","330,757","21,852","42,536","27,199","4,066"
CA-14,"592,734","166,904","134,915","38,914","241,806","15,190","11,206"
CA-15,"609,967","184,078","150,342","22,421","241,550","13,137","10,719"
