District,Democrat,Republican
AK-AL,Mary Peltola,Sarah Palin
AL-01,,Jerry Carl
AL-02,Phyllis Harvey-Hall,Barry Moore
AL-03,Lin Veasey,Mike Rogers
AL-04,Rick Neighbors,Robert Aderholt
AL-05,Kathy Warner-Stanton,Dale Strong
AL-06,,Gary Palmer
AL-07,Terri Sewell,Beatrice Nichols
AR-01,Monte Hodges,Rick Crawford
AR-02,Quintessa Hathaway,French Hill
AR-03,Lauren Mallett-Hays,Steve Womack
AR-04,John White,Bruce Westerman
AZ-01,Jevin Hodge,David Schweikert
AZ-02,Tom O'Halleran,Eli Crane
AZ-03,Ruben Gallego,Jeff Zink
AZ-04,Greg Stanton,Kelly Cooper
AZ-05,Javier Ramos,Andy Biggs
AZ-06,Kirsten Engel,Juan Ciscomani
AZ-07,Raul Grijalva,Luis Pozzolo
AZ-08,,Debbie Lesko
AZ-09,,Paul Gosar
CA-01,Max Steiner,Doug LaMalfa
CA-02,Jared Huffman,Douglas Brower
CA-03,Kermit Jones,Kevin Kiley
CA-04,Mike Thompson,Matt Brock
CA-05,MIke Barkley,Tom McClintock
CA-06,Ami Bera,Tamika Hamilton
CA-07,Doris Matsui,Max Semenenko
CA-08,John Garamendi,Rudy Recile
CA-09,Josh Harder,Tom Patti
CA-10,Mark DeSaulnier,
CA-11,Nancy Pelosi,John Dennis
CA-12,Barbara Lee,Stephen Slauson
CA-13,Adam Gray,John Duarte
CA-14,Eric Swalwell,Alison Hayden
CA-15,Kevin Mullin,
CA-16,Anna Eshoo,
CA-17,Ro Khanna,Ritesh Tandon
CA-18,Zoe Lofgren,Peter Hernandez
CA-19,Jimmy Panetta,Jeff Gorman
CA-20,Marisa Wood,Kevin McCarthy
CA-21,Jim Costa,Michael Maher
CA-22,Rudy Salas,David Valadao
CA-23,Derek Marshall,Jay Odernolte
CA-24,Salud Carbajal,Brad Allen
CA-25,Raul Ruiz,Brian Hawkins
CA-26,Julia Brownley,Matt Jacobs
CA-27,Christy Smith,Mike Garcia
CA-28,Judy Chu,Wes Hallman
CA-29,Tony Cardenas,
CA-30,Adam Schiff,
CA-31,Grace Napolitano,Daniel Martinez
CA-32,Brad Sherman,Lucie Volotzky
CA-33,Pete Aguilar,John Porter
CA-34,Jimmy Gomez,
CA-35,Norma Torres,Mike Cargile
CA-36,Ted Lieu,Joe Collins III
CA-37,Sydney Kamlager,
CA-38,Linda Sanchez,Eric Ching
CA-39,Mark Takano,Aja Smith
CA-40,Asif Mahmood,Young Kim
CA-41,Will Rollins,Ken Calvert
CA-42,Robert Garcia,John Briscoe
CA-43,Maxine Waters,Omar Navarro
CA-44,Nanette Barragan,Paul Jones
CA-45,Jay Chen,Michelle Steel
CA-46,Lou Correa,Christopher Gonzales
CA-47,Katie Porter,Scott Baugh
CA-48,Stephen Houlahan,Darrell Issa
CA-49,Mike Levin,Brian Maryott
CA-50,Scott Peters,Corey Gustafson
CA-51,Sara Jacobs,Stan Caplan
CA-52,Juan Vargas,Tyler Geffeney
CO-01,Diana DeGette,Jennier Qualteri
CO-02,Joe Neguse,Marshall Dawson
CO-03,Adam Frisch,Lauren Boebert
CO-04,Ike McCorkle,Ken Buck
CO-05,David Torres,Doug Lamborn
CO-06,Jason Crow,Steven Monahan
CO-07,Brittany Pettersen,Erik Aadland
CO-08,Yadira Caraveo,Barbara Kirkmeyer
CT-01,John Larson,Larry Lazor
CT-02,Joe Courtney,Mike France
CT-03,Rosa DeLauro,Lesley DeNardis
CT-04,Jim Himes,Jayme Stevenson
CT-05,Jahana Hayes,George Logan
DE-AL,Lisa Blunt Rochester,Lee Murphy
FL-01,Rebekah Jones,Matt Gaetz
FL-02,Al Lawson,Neal Dunn
FL-03,Danielle Hawk,Kat Cammack
FL-04,LaShonda Holloway,Aaron Bean
FL-05,,John Rutherford
FL-06,,Michael Waltz
FL-07,Karen Green,Cory Mills
FL-08,Joanne Terry,Bill Posey
