District,dem_supported,dem_opposed,gop_supported,gop_opposed
AK-AL,2902308,25137,591544,34944
AL-01,0,0,0,0
AL-02,0,0,8866,0
AL-03,0,0,0,0
AL-04,0,0,0,0
AL-05,0,0,429761,491898
AL-06,0,0,0,0
AL-07,232763,0,0,0
AR-01,0,0,8,0
AR-02,0,0,15256,54167
AR-03,0,0,9,8
AR-04,0,0,168120,0
AZ-01,307078,1039605,1695058,1720698
AZ-02,773789,2434375,1611974,780368
AZ-03,4468,0,0,0
AZ-04,248520,1854,79124,3513488
AZ-05,0,0,4718,20608
AZ-06,123221,4681980,2020793,43497
AZ-07,2018,0,0,0
AZ-08,0,0,58691,0
AZ-09,0,0,58547,83998
CA-01,0,0,0,0
CA-02,833,0,0,0
CA-03,128214,96000,199107,5500
CA-04,707,0,0,0
CA-05,0,0,161,8
CA-06,1569772,0,0,0
CA-07,114,0,0,0
CA-08,116,301,0,0
CA-09,63491,0,0,83964
CA-10,0,0,0,0
CA-11,7741,52501,0,0
CA-12,124,0,0,0
CA-13,1725983,6898611,447060,6327948
CA-14,114,0,0,8
CA-15,717957,0,0,0
CA-16,18,0,0,0
CA-17,124,0,0,8
CA-18,124,0,0,0
CA-19,70954,0,0,8
CA-20,106,0,6435,116396
CA-21,34784,0,0,0
CA-22,3565028,11954802,2197583,7619529
CA-23,345,0,0,0
CA-24,730110,0,0,0
CA-25,124,0,12425,0
CA-26,682733,55000,0,460313
CA-27,249738,5812532,1064886,255874
CA-28,4940,0,0,0
CA-29,77117,0,0,0
CA-30,223,0,0,0
CA-31,223,0,0,0
CA-32,117,0,0,0
CA-33,114,0,0,0
CA-34,12798,0,0,0
CA-35,114,0,0,8
CA-36,223,0,0,8
CA-37,1200547,0,0,0
CA-38,223,0,0,0
CA-39,305,0,0,8
CA-40,92345,834385,1259672,93823
CA-41,667307,34715,75682,340173
CA-42,260644,766649,1917,8
CA-43,223,1000,0,0
CA-44,50223,0,0,0
CA-45,134238,4731333,486194,360409
CA-46,18,0,0,0
CA-47,673112,9206214,107445,141155
CA-48,0,0,872066,8
CA-49,963904,6111795,55950,8037244
CA-50,90000,0,0,0
CA-51,106,0,0,0
CA-52,124,0,0,0
CO-01,8,0,0,0
CO-02,8,0,0,0
CO-03,2118,0,549818,692584
CO-04,8,0,20927,8
CO-05,0,0,0,0
CO-06,9025,0,0,0
CO-07,344077,306037,320444,694783
CO-08,990234,9067288,1607757,5449457
CT-01,18,0,0,0
CT-02,16839,11157,224312,0
CT-03,815,0,0,0
CT-04,18,9322,73644,0
CT-05,1708846,3851471,1756183,4830102
DE-AL,0,0,164326,8
FL-01,0,0,44762,30387
FL-02,18,0,56492,0
FL-03,0,0,574047,0
FL-04,0,0,1491606,0
FL-05,0,0,1797342,0
FL-06,0,0,131543,0
FL-07,0,0,19096,0
FL-08,0,0,76809,0
FL-09,4258,0,31730,0
FL-10,1433002,0,0,0
FL-11,0,0,41614,7834
FL-12,0,0,302623,0
FL-13,4358143,61962,0,0
FL-14,18,0,0,0
FL-15,0,8220,1423041,112029
FL-16,0,0,110185,8
FL-17,0,0,1563,0
FL-18,0,0,14191,0
FL-19,0,0,272229,0
FL-20,10,88517,5000,0
FL-21,0,0,232482,0
FL-22,131854,0,24000,9421
FL-23,683841,0,0,0
FL-24,1033,0,0,0
FL-25,0,0,12450,8
FL-26,212,0,0,0
FL-27,331932,1586905,0,0
FL-28,30000,0,0,0
GA-01,0,0,3955,0
GA-02,527071,0,74602,2878794
GA-03,0,0,33510,0
GA-04,31,0,0,0
GA-05,87470,0,0,0
GA-06,0,0,590426,493045
GA-07,5194390,31388,5000,0
GA-08,0,0,3955,0
GA-09,0,0,5537,0
GA-10,0,0,109535,0
