District,Biden,Trump,Clinton,Trump16
AK-AL,42.8,52.8,36.6,51.3
AL-01,35.2,63.5,33.8,62.9
AL-02,34.7,64.1,32.3,64.8
AL-03,32.4,66.4,31.1,65.7
AL-04,18.6,80.2,18,79
AL-05,35.5,62.5,30.8,63.8
AL-06,34.2,64.1,28.5,66.8
AL-07,65.5,33.4,64.1,33.5
AR-01,28.1,69,30.1,65
AR-02,42.1,55.2,39.5,54.5
AR-03,36.8,60.2,31.8,60.4
AR-04,31,66.2,32.5,62.9
AZ-01,50.1,48.7,44.6,48.8
AZ-02,45.3,53.2,41.1,51.2
AZ-03,74.5,23.9,71.4,21.4
AZ-04,54.1,43.9,46.5,44.1
AZ-05,41,57.4,35.3,56.6
AZ-06,49.3,49.2,43.8,49
AZ-07,65.6,32.9,63.4,29.8
AZ-08,42.5,56.1,37.2,56.1
AZ-09,36.4,62.1,32.3,61.4
CA-01,39.3,58.3,35.6,57.4
CA-02,73.5,24.1,68.9,23.4
CA-03,47.9,49.7,42.5,50.3
CA-04,67.1,30.5,63.7,29.3
CA-05,42.7,55,39.4,54.5
CA-06,57.9,39.4,54.8,38
CA-07,67.4,30.3,66.3,27.7
CA-08,76,21.9,75.3,19.4
CA-09,55.2,42.6,53.8,40.7
CA-10,68.6,29.3,65.1,28.9
CA-11,86.3,11.7,86,8.9
CA-12,89.3,8.6,87.6,6.5
CA-13,54.3,43.4,53.4,40.9
CA-14,71.7,26.2,70.6,23.5
CA-15,77.7,20.4,77.3,17.9
CA-16,75.4,22.4,74.4,19.6
CA-17,72.7,25.3,74.1,20.2
CA-18,70.9,26.9,71.5,22.7
CA-19,68.6,29.1,66.4,27.1
CA-20,36.4,61.3,31.9,62.6
CA-21,59.2,38.8,58.2,36.4
CA-22,55.2,42.4,55.3,39.2
CA-23,43.9,53.7,39.7,54.5
CA-24,63.4,34.3,59.2,34
CA-25,56.7,41.3,56.3,38.9
CA-26,58.9,39,55.7,38.4
CA-27,55.1,42.7,51.9,42.1
CA-28,66,32.1,64.4,29.9
CA-29,74.5,23.2,77.9,16.6
CA-30,72.2,26,73.8,20.8
CA-31,64.5,33.5,65.7,28.5
CA-32,69.5,28.7,69.9,24.9
CA-33,61.5,36.2,62.3,32.3
CA-34,81,16.7,84,10.3
CA-35,62.9,34.9,64.6,30
CA-36,71,26.9,69.2,24.8
CA-37,85.7,12.4,88.4,7.3
CA-38,64.1,33.9,65.2,29.2
CA-39,62,35.8,61.4,32.7
CA-40,49.9,48.1,44.9,49.3
CA-41,48.6,49.6,44.6,50.6
CA-42,71.7,25.9,72.3,21.6
CA-43,80.8,17.8,84.1,11.4
CA-44,72.9,24.7,75.6,19.1
CA-45,52.1,46,53.8,40.6
CA-46,64.1,33.7,66.8,27.3
CA-47,54.5,43.4,50.8,43.2
CA-48,42.7,55,37.2,57.1
CA-49,54.6,43.2,49.7,44.1
CA-50,65.4,32.2,60.5,33.2
CA-51,62.5,35.2,58.4,35.4
CA-52,67.4,30.5,70.7,24.1
CO-01,79.5,18.2,73.6,18.9
CO-02,68.6,28.8,60.9,30.4
CO-03,44.7,52.9,39,53.1
CO-04,39.5,58,32.1,59.6
CO-05,43.1,53.2,34.1,55.9
CO-06,60.6,36.8,52.3,39.1
CO-07,55.7,41.5,47,44.1
CO-08,50.8,46.2,44.6,46.4
CT-01,63.3,35.2,59.4,36.2
CT-02,54.7,43.2,48.8,45.4
CT-03,59.2,39.5,55,41.1
