District,Dem,Rep,Total,Margin,Incumbency
AK-AL,"137,263","112,471",249734,-9.93%,-1
AL-01,0,"140,592","168,150",83.61%,1
AL-02,"58,014","137,460",198961,39.93%,1
AL-03,"47,859","135,602",190406,46.08%,1
AL-04,"26,694","164,655",195733,70.48%,1
AL-05,"62,740","142,435",212317,37.54%,0
AL-06,0,"154,233",184203,83.73%,1
AL-07,"123,233","67,416",193940,-28.78%,-1
AR-01,"54,598","153,774",208372,47.60%,1
AR-02,"86,887","147,975",246446,24.79%,1
AR-03,"73,541","142,401",223588,30.80%,1
AR-04,"56,745","153,850",216696,44.81%,1
AZ-01,"179,141","182,336",361477,0.88%,1
AZ-02,"149,151","174,169",323396,7.74%,-1
AZ-03,"108,599","32,475",141074,-53.96%,-1
AZ-04,"148,941","116,521",265498,-12.21%,-1
AZ-05,"120,275","182,464",321590,19.34%,1
AZ-06,"172,040","177,201",349283,1.48%,0
AZ-07,"126,418","69,444",195862,-29.09%,-1
AZ-08,0,"197,555",204713,93.01%,1
AZ-09,0,"192,796",197185,95.55%,1
CA-01,"93,166","152,207",245373,24.06%,1
CA-02,"229,720","79,029",308749,-48.81%,-1
CA-03,"156,761","181,438",338199,7.30%,0
CA-04,"176,900","84,007",260907,-35.60%,-1
CA-05,"109,465","173,464",282929,22.62%,1
CA-06,"121,058","95,325",216383,-11.89%,-1
CA-07,"150,618","70,033",220651,-36.52%,-1
CA-08,"145,501","46,634",192135,-51.46%,-1
CA-09,"95,598","78,802",174400,-9.63%,-1
CA-10,"198,415",0,251380,-78.93%,-1
CA-11,"220,848","42,217",263065,-67.90%,-1
CA-12,"217,110","22,859",239969,-80.95%,-1
CA-13,"66,476","67,041",133517,0.42%,0
CA-14,"137,491","60,803",198294,-38.67%,-1
CA-15,"194,803",0,194803,-100.00%,0
CA-16,"240,841",0,240841,-100.00%,-1
CA-17,"127,780","52,360",180140,-41.87%,-1
CA-18,"99,716","51,715",151431,-31.70%,-1
CA-19,"193,733","87,924",281657,-37.57%,-1
CA-20,"74,807","153,646",228453,34.51%,1
CA-21,"67,924","57,461",125385,-8.34%,-1
CA-22,"49,722","52,849",102571,3.05%,1
CA-23,"65,870","103,137",169007,22.05%,1
CA-24,"152,498","98,692",251190,-21.42%,-1
CA-25,"87,641","65,101",152742,-14.76%,-1
CA-26,"134,197","111,893",246090,-9.06%,-1
CA-27,"91,892","104,624",196516,6.48%,1
CA-28,"150,058","76,482",226540,-32.48%,-1
CA-29,"119,435",0,119435,-100.00%,-1
CA-30,"211,068",0,211068,-100.00%,-1
CA-31,"91,472","62,153",153625,-19.08%,-1
CA-32,"167,410","74,617",242027,-38.34%,-1
CA-33,"76,543","56,087",132630,-15.42%,-1
CA-34,"121,467",0,121467,-100.00%,-1
CA-35,"75,089","55,802",130891,-14.74%,-1
CA-36,"194,299","84,264",278563,-39.50%,-1
CA-37,"131,880",0,131880,-100.00%,0
CA-38,"101,260","73,051",174311,-16.18%,-1
CA-39,"75,896","55,701",131597,-15.35%,-1
CA-40,"122,719","161,579",284298,13.67%,1
CA-41,"112,769","123,869",236638,4.69%,1
CA-42,"99,217","45,903",145120,-36.74%,0
CA-43,"95,462","27,985",123447,-54.66%,-1
CA-44,"100,160","38,554",138714,-44.41%,-1
CA-45,"103,466","113,958",217424,4.83%,1
CA-46,"78,041","48,257",126298,-23.58%,-1
CA-47,"137,374","128,261",265635,-3.43%,-1
CA-48,"101,892","155,161",257053,20.72%,1
CA-49,"153,521","138,189",291710,-5.26%,-1
CA-50,"168,787","99,813",268600,-25.68%,-1
CA-51,"144,167","88,875",233042,-23.73%,-1
CA-52,"100,667","50,323",150990,-33.34%,-1
CO-01,"226,929","49,529",282615,-62.77%,-1
CO-02,"244,107","97,700",348839,-41.97%,-1
CO-03,"163,278","163,832",327110,0.17%,1
CO-04,"129,619","216,024",354513,24.37%,1
CO-05,"111,978","155,528",277955,15.67%,1
CO-06,"170,140","105,084",280755,-23.17%,-1
CO-07,"204,984","150,509",363508,-14.99%,0
CO-08,"114,377","112,745",236402,-0.69%,0
CT-01,"149,556","91,506",243913,-23.80%,-1
CT-02,"165,946","114,506",285031,-18.05%,-1
CT-03,"137,924","98,704",242651,-16.16%,-1
CT-04,"140,262","95,822",236084,-18.82%,-1
CT-05,"127,838","125,834",253672,-0.79%,-1
DE-AL,"178,416","138,201",321649,-12.50%,-1
FL-01,"93,467","197,349",290816,35.72%,1
FL-02,"121,153","180,236",301389,19.60%,0
FL-03,"103,382","178,101",284893,26.23%,1
FL-04,"108,402","165,696",274103,20.90%,0
FL-05,0,1,1,100.00%,1
FL-06,0,"226,548",300755,75.33%,1
FL-07,"126,079","177,966",304045,17.07%,0
FL-08,"120,080","222,128",342208,29.82%,1
FL-09,"108,541","93,827",202368,-7.27%,-1
FL-10,"117,955","78,844",199910,-19.56%,0
FL-11,"115,647","205,995",326609,27.66%,1
FL-12,"95,377","226,583",321964,40.75%,1
FL-13,"153,876","181,487",341546,8.08%,0
FL-14,"149,737","113,427",263164,-13.80%,-1
FL-15,"102,835","145,219",248054,17.09%,0
FL-16,"115,575","189,762",305358,24.30%,1
FL-17,"123,822","222,601",348649,28.33%,1
FL-18,0,"167,429",224234,74.67%,1
FL-19,"100,226","213,035",313274,36.01%,1
FL-20,"136,215","52,151",188366,-44.63%,-1
FL-21,"119,891","208,614",328505,27.01%,1
FL-22,"150,010","122,194",272204,-10.22%,-1
FL-23,"143,951","130,681",279049,-4.76%,0
FL-24,"133,442","52,449",185891,-43.57%,-1
FL-25,"129,113","105,239",234352,-10.19%,-1
FL-26,"58,868","143,240",202108,41.75%,1
FL-27,"101,404","136,038",237442,14.59%,1
FL-28,"76,665","134,457",211150,27.37%,1
GA-01,"107,837","156,128",263965,18.29%,1
GA-02,"132,675","108,665",241340,-9.95%,-1
GA-03,"97,057","213,524",310581,37.50%,1
GA-04,"216,332","59,302",275634,-56.97%,-1
GA-05,"243,687","51,769",295456,-64.96%,-1
GA-06,"125,612","206,886",332498,24.44%,0
GA-07,"143,063","91,262",234325,-22.11%,-1
GA-08,"81,886","178,700",260586,37.15%,1
GA-09,"81,318","212,820",294138,44.71%,1
GA-10,"109,107","198,523",307630,29.07%,0
GA-11,"113,571","190,086",303657,25.20%,1
GA-12,"107,148","158,047",265195,19.19%,1
GA-13,"216,388","48,228",264616,-63.55%,-1
GA-14,"88,189","170,162",258351,31.73%,1
HI-01,"143,546","51,217",194763,-47.41%,-1
HI-02,"128,407","72,874",206411,-26.90%,0
IA-01,"142,173","162,947",305380,6.80%,1
IA-02,"145,940","172,181",318399,8.24%,1
IA-03,"154,117","156,262",310913,0.69%,-1
IA-04,"84,230","186,467",277008,36.91%,1
ID-01,"82,261","222,901",312442,45.01%,1
ID-02,"98,736","172,450",271186,27.18%,1
IL-01,"159,142","78,258",237425,-34.07%,0
IL-02,"140,414","68,761",209175,-34.26%,-1
IL-03,"121,764","55,995",177759,-37.00%,0
IL-04,"91,036","37,352",133047,-40.35%,-1
IL-05,"190,999","79,112",274550,-40.75%,-1
IL-06,"150,496","126,351",276859,-8.72%,-1
IL-07,"167,650",0,167746,-99.94%,-1
IL-08,"117,880","89,335",207215,-13.78%,-1
IL-09,"179,615","70,915",250530,-43.39%,-1
IL-10,"152,566","89,599",242165,-26.00%,-1
IL-11,"149,172","115,069",264241,-12.91%,-1
IL-12,"72,791","218,379",291171,50.00%,1
IL-13,"141,788","108,646",250450,-13.23%,0
IL-14,"128,141","108,451",236600,-8.32%,-1
IL-15,"86,396","213,007",299403,42.29%,1
IL-16,"100,325","197,621",297946,32.66%,1
IL-17,"121,186","111,931",233123,-3.97%,0
IN-01,"112,656","100,542",213207,-5.68%,-1
IN-02,"62,955","125,537",194373,32.20%,0
IN-03,"60,577","131,579",201542,35.23%,1
IN-04,"62,834","134,864",197698,36.43%,1
IN-05,"93,434","146,575",240009,22.14%,1
IN-06,"62,838","130,686",193524,35.06%,1
IN-07,"117,309","53,631",175180,-36.35%,-1
IN-08,"68,109","141,995",216040,34.20%,1
IN-09,"75,700","143,166",225276,29.95%,0
KS-01,"77,092","161,333",238425,35.33%,1
KS-02,"98,852","134,506",233358,15.28%,1
KS-03,"165,527","128,839",301294,-12.18%,-1
KS-04,"83,851","144,889",228740,26.68%,1
KY-01,"61,701","184,157",245858,49.81%,1
KY-02,"66,769","170,487",237256,43.72%,1
KY-03,"160,920","98,637",259587,-23.99%,0
KY-04,"79,977","167,541",257629,33.99%,1
KY-05,"38,549","177,712",216270,64.35%,1
KY-06,"83,005","154,762",246818,29.07%,1
LA-01,"61,467","177,670",244044,47.62%,1
LA-02,"158,120","46,927",205047,-54.23%,-1
LA-03,"44,813","174,864",224552,57.92%,1
LA-04,0,1,1,100.00%,1
LA-05,"54,532","169,021",223553,51.21%,1
LA-06,0,"205,219",235928,86.98%,1
MA-01,"157,635","98,386",256399,-23.11%,-1
MA-02,"180,639","91,956",272871,-32.50%,-1
MA-03,"154,496","88,585",243301,-27.09%,-1
MA-04,"201,882",0,208279,-96.93%,-1
MA-05,"203,994","71,491",275671,-48.07%,-1
MA-06,"198,119","110,770",315081,-27.72%,-1
MA-07,"151,825","27,129",179511,-69.46%,-1
MA-08,"189,987","82,126",272564,-39.57%,-1
MA-09,"197,823","136,347",334320,-18.39%,-1
MD-01,"126,511","159,673",293358,11.30%,1
MD-02,"158,998","109,075",268434,-18.60%,-1
MD-03,"175,514","115,801",291602,-20.48%,-1
MD-04,"144,168","15,441",160009,-80.45%,0
MD-05,"182,478","94,000",276920,-31.95%,-1
MD-06,"140,295","115,771",256398,-9.56%,-1
MD-07,"151,640","32,737",184801,-64.34%,-1
MD-08,"211,842","47,965",264206,-62.03%,-1
ME-01,"219,753","129,263",349176,-25.92%,-1
ME-02,"165,136","146,142",311278,-6.10%,-1
